input_utterance,num_duplicates
Terminate i-a541 now,5
Search for cooking videos,5
Find most popular photos tagged #LOVE,2
Search for a few nice photos matching Opera House with size 1024px * 768px,0
Are the burglar alarms in the office malfunctioning ?,7
Is the TV in the house off ?,2
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,0
Are there any cheap hotels for 7-day stay somewhere near Riverside,0
Send an email to Phil telling her that ''I got you'',1
Give me 5 conference articles about text mining,0
I am looking for the latest scientific article related to Machine Learning,0
Create a comment saying ''Best Voice Ever'',0
Jump to the previous song,7
Skip to the next song,10
Where can I upgrade my laptop ?,3
Could you offer three barbershops in Newtown,3
Let me have top three convenience stores near Newtown,1
I want reviews for McDonald's at Kensington st.,1
How far is the closest cab,9
Request a taxi from the airport to home,0
what is the forecast for colder in Anston,0
How hot is it in Pesotum,6
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",0
Book a taverna in Equatorial Guinea this month for nine people.,2
Book a table for eight people please,5
Please add Ruud Jolie to my playlist Guest List Polygon,0
add this artist named Kirk Hammett to my playlist Party,5
I want to put a copy of this tune into Skatepark Punks,0
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",0
Rate this album two out of 6,6
Give the current part of the saga 4 points out of 6.,2
Can you play some fifties music by lavern baker,1
Play a 1964 track from Shahram Nazeri on Pandora.,1
Please play me some Satire music,0
When is Crime and Punishment U.S.A. showing?,4
find Fox Theatres with The Caretaker,4
I would like to watch The Wedding Ring at the movie theatre,0
I want to read the book The Lion Sleeps Tonight,1
Where can I buy a used copy of the game called I Lie Around?,0
please give me the cheapest flight from denver to pittsburgh,1
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,0
what is the lowest fare from denver to pittsburgh,3
what is the cheapest one way fare from boston to baltimore,1
what is the ground transportation from oakland to san francisco,2
can i get a rental car in dallas,8
what airlines fly between boston and atlanta,1
show me the airlines between boston and denver,2
what does ls stand for,2
what does dfw mean,4
What is the forecast for Harrison-Crawford State Forest,1
find Join the Dots: B-sides and Rarities,1
Total number of duplicates in taboo-patterns,119
