input_utterance,utterance_template,intent,seed_id,source,paraphrase_value,paraphrase_template,bertscore,ted,duplicate,semantics,selected_templates_related_paraphrases,ted_to_selected_templates,_is_similar
Terminate i-a541 now,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),EndEC2Instance,1,ParaQuality,End i-a541 immediately,( NP ( NP ( NN ) ( NN ) ) ( ADVP ( RB ) ) ),0.9473829,5.0,False,True,"['list the airlines that fly from Boston to Denver', 'Can you tell me the distance of the closest cab?']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 9.0}",False
Search for cooking videos,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),SearchWeb,2,ParaQuality,Find videos on cooking,( S ( VP ( VB ) ( NP ) ) ),0.9366822,4.0,False,True,"['locate Fox Theatres featuring The Caretaker', 'Can you tell me the proximity of the closest taxi?']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",True
Find most popular photos tagged #LOVE,( S ( S ( VP ) ) ( VP ( VBP ) ) ),SearchWeb,3,ParaQuality,Locate the most popular images with the hashtag #LOVE.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.93461424,4.0,False,True,"['find albums with B-sides and Rarities from Join the Dots', 'Can you find me the most recent scientific publication about Machine Learning?']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 5.0}",True
Search for a few nice photos matching Opera House with size 1024px * 768px,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),SearchWeb,4,ParaQuality,Find a couple of beautiful pictures that match Opera House with dimensions of 1024px * 768px,( S ( VP ( VB ) ( NP ) ) ),0.95321554,4.0,False,True,"['Retrieve 5 conference articles that discuss text mining', 'Can you tell me the weather forecast for Harrison-Crawford State Forest?']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",True
Are the burglar alarms in the office malfunctioning ?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ( VP ( VBG ) ) ( . ) ),CheckDevice,5,ParaQuality,Do the office burglar alarms have a malfunction?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NN ) ( NNS ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.95881456,5.0,False,True,"['find showings of The Caretaker at Fox Theatres', 'Can you tell me the proximity of the closest taxi?']","{'( S ( VP ( VB ) ( NP ) ) )': 8.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",False
Is the TV in the house off ?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ) ) ( PRT ( RP ) ) ( . ) ),CheckDevice,6,ParaQuality,Is the television turned off in the house?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( VP ( VBN ) ( PRT ) ( PP ) ) ( . ) ),0.9605188,6.0,False,True,"['Discover the most popular pictures with the hashtag #LOVE', 'Can you tell me the current heat in Pesotum?']","{'( S ( VP ( VB ) ( NP ) ) )': 9.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",False
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,( NP ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ),FindHotel,7,ParaQuality,"Can you recommend a budget-friendly hotel in the vicinity of Seattle for tomorrow, accommodating two guests?","( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( , ) ( S ) ) ( . ) )",0.9053723,8.0,False,True,"['locate Fox Theatres featuring The Caretaker', 'Can you show me the best three convenience stores around Newtown?']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 1.0}",True
Are there any cheap hotels for 7-day stay somewhere near Riverside,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( ADVP ( RB ) ( IN ) ( NP ) ) ),FindHotel,8,ParaQuality,Can you find any inexpensive hotels nearby that offer a 7-day stay?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.93542093,9.0,False,True,"['Locate some high-quality pictures that represent the Opera House with dimensions of 1024 pixels by 768 pixels', 'Can you show me places where I can improve my laptop?']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 1.0}",True
Send an email to Phil telling her that ''I got you'',( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) ),SendMail,9,ParaQuality,"Deliver an email to Phil, informing her that I have your back.","( S ( VP ( VB ) ( NP ) ( PP ) ( , ) ( S ) ) ( . ) )",0.9389156,3.0,False,True,"['Find videos on cooking', 'Can you tell me the current weather in Pesotum?']","{'( S ( VP ( VB ) ( NP ) ) )': 3.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",True
Give me 5 conference articles about text mining,( S ( VP ( VB ) ( NP ) ( NP ) ) ),FindArticles,10,ParaQuality,Can you provide me with 5 conference articles related to text mining?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9222856,6.0,False,True,"['Retrieve a selection of attractive photos that are similar to Opera House and have a resolution of 1024 pixels by 768 pixels', 'Can you tell me the least expensive one-way fare from Boston to Baltimore?']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 1.0}",True
