input_utterance,intent,parameters,utterance_template,source,seed_id,p1,p1_template,p2,p2_template,p3,p3_template,p1_bertscore,p2_bertscore,p3_bertscore,p1_duplicate,p1_semantics,p2_duplicate,p2_semantics,p3_duplicate,p3_semantics,p1_ted,p2_ted,p3_ted,p1_correct,p2_correct,p3_correct
Terminate i-a541 now,EndEC2Instance,"[['VM', 'i-a541']]",( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),ParaQuality,1,End i-a541 immediately,( NP ( NP ( NN ) ( NN ) ) ( ADVP ( RB ) ) ),Stop i-a541 right now,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),Cease the operation of i-a541 at once,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),0.94738257,0.94063985,0.9018504,False,True,False,True,False,True,5.0,0.0,0.0,True,True,True
Search for cooking videos,SearchWeb,"[['query', 'cooking videos']]",( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,2,Find videos on how to cook,( S ( VP ( VB ) ( NP ) ) ),Look for instructional cooking videos,( S ( VP ( VB ) ( PP ) ) ),Retrieve cooking tutorials,( S ( VP ( VB ) ( NP ) ) ),0.91734487,0.9804275,0.90305555,False,True,True,True,False,True,4.0,4.0,4.0,True,False,True
Find most popular photos tagged #LOVE,SearchWeb,"[['Tag', '#LOVE']]",( S ( S ( VP ) ) ( VP ( VBP ) ) ),ParaQuality,3,Search for the most popular photos with the hashtag #LOVE,( S ( VP ( VB ) ( PP ) ) ),Discover the top-rated images labeled with #LOVE,( S ( VP ( VB ) ( NP ) ) ),Locate the trending pictures tagged as #LOVE,( S ( VP ( VB ) ( NP ) ) ),0.9399594,0.92964166,0.93979794,False,True,False,True,False,True,3.0,3.0,3.0,True,True,True
Search for a few nice photos matching Opera House with size 1024px * 768px,SearchWeb,"[['size', '1024px * 768px'], ['query', 'Opera House']]",( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,4,Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px,( S ( VP ( VB ) ( NP ) ) ),Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels,( S ( VP ( VB ) ( PP ) ) ),"Retrieve several attractive photos showcasing the Opera House, all measuring 1024 pixels in width and 768 pixels in height",( S ( VP ( VB ) ( NP ) ) ),0.9526329,0.93005633,0.8938253,False,True,False,True,False,True,4.0,4.0,4.0,True,True,True
Are the burglar alarms in the office malfunctioning ?,CheckDevice,"[['location', 'office']]",( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ( VP ( VBG ) ) ( . ) ),ParaQuality,5,Is there a problem with the burglar alarms in the office?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) ),Do the burglar alarms in the office have any issues?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ) ( VP ( NNS ) ( PP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Are there any malfunctions with the burglar alarms in the office?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) ),0.948713,0.95261735,0.94738704,False,True,False,True,False,True,9.0,6.0,8.0,True,True,True
Is the TV in the house off ?,CheckDevice,"[['device', 'TV']]",( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ) ) ( PRT ( RP ) ) ( . ) ),ParaQuality,6,Has the TV in the house been turned off?,( SQ ( VBZ ) ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( VP ) ) ( . ) ),Is the television switched off inside the house?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( VP ( VBN ) ( PRT ) ( PP ) ) ( . ) ),Did someone turn off the TV in the house?,( SQ ( VBD ) ( NP ( NN ) ) ( VP ( VB ) ( PRT ) ( NP ) ( PP ) ) ( . ) ),0.95732874,0.9514967,0.93411607,False,True,False,True,False,True,7.0,6.0,8.0,True,True,True
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,FindHotel,"[['location', 'Seattle'], ['num_of_guests', '2']]",( NP ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,7,Can you recommend a budget-friendly hotel near Seattle for tomorrow for two people?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"I'm looking for a cheap hotel close to Seattle for tomorrow, accommodating two guests. Any suggestions?",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),Do you have any recommendations for an affordable hotel near Seattle that can accommodate two people starting from tomorrow?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.9155044,0.9068899,0.89658356,False,True,False,True,False,True,7.0,7.0,7.0,True,True,True
Are there any cheap hotels for 7-day stay somewhere near Riverside,FindHotel,"[['location', 'Riverside'], ['stay_length', '7-day']]",( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( ADVP ( RB ) ( IN ) ( NP ) ) ),ParaQuality,8,Can you find me some affordable lodging options near Riverside for a week-long stay?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),I'm looking for inexpensive accommodations near Riverside that I can stay at for 7 days. Can you help me with that?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),Are there any budget-friendly hotels close to the Riverside area where I can book a room for a 7-day period?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( ADVP ) ) ( . ) ),0.9280666,0.90114534,0.9393634,False,True,False,True,False,True,9.0,10.0,5.0,True,True,True
Send an email to Phil telling her that ''I got you'',SendMail,"[['contact', 'Phil'], ['message', 'I got you']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) ),ParaQuality,9,"Compose an email to Phil, informing her that I have taken care of it.","( S ( VP ( VB ) ( NP ) ( PP ) ( , ) ( S ) ) ( . ) )","Write an email to Phil, saying that everything is under control.","( S ( VP ( VB ) ( NP ) ( PP ) ( , ) ( S ) ) ( . ) )",Send a message to Phil saying ''I've got your back'',( S ( VP ( VB ) ( NP ) ( PP ) ( VP ) ) ( '' ) ( '' ) ),0.91066664,0.9202772,0.9509325,False,True,False,True,False,True,3.0,3.0,1.0,True,True,True
Give me 5 conference articles about text mining,FindArticles,"[['query', 'text mining'], ['count', '5'], ['article_type', 'conference articles']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),ParaQuality,10,Show me 5 conference articles related to text mining,( S ( VP ( VB ) ( NP ) ) ),Find 5 conference articles on the topic of text mining,( S ( VP ( VB ) ( NP ) ( PP ) ) ),Provide me with 5 conference papers focusing on text mining,( S ( VP ( VB ) ( NP ) ( PP ) ) ),0.9815151,0.95046645,0.9482121,True,True,False,True,False,True,1.0,1.0,1.0,False,True,True
