input_utterance,utterance_template,intent,seed_id,source,paraphrase_value,paraphrase_template,bertscore,ted,duplicate,semantics,selected_templates_related_paraphrases,ted_to_selected_templates,_is_similar
Terminate i-a541 now,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),EndEC2Instance,1,ParaQuality,Find a restaurant that serves Italian cuisine.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.82072514,2.0,False,True,"['locate Fox Theatres featuring The Caretaker', 'Can you find me any budget-friendly hotels for a 7-day stay in the vicinity of Riverside?']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 5.0}",True
Search for cooking videos,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),SearchWeb,2,ParaQuality,Find videos on how to cook,( S ( VP ( VB ) ( NP ) ) ),0.91734487,4.0,False,True,"['Retrieve a selection of attractive photos that are similar to Opera House and have a resolution of 1024 pixels by 768 pixels', 'Could you give me an update on the weather conditions at Harrison-Crawford State Forest?']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",True
Find most popular photos tagged #LOVE,( S ( S ( VP ) ) ( VP ( VBP ) ) ),SearchWeb,3,ParaQuality,Discover the most popular images labeled with #LOVE,( S ( VP ( VB ) ( NP ) ) ),0.9619586,3.0,False,True,"['Retrieve 5 conference articles that discuss text mining', 'Can you find me a pub with Italian dressing where I can host a party for 5 people on February 11, 2033?']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",True
Search for a few nice photos matching Opera House with size 1024px * 768px,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),SearchWeb,4,ParaQuality,Locate several beautiful images that match the Opera House with dimensions of 1024px * 768px.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.9356129,5.0,False,True,"['Find videos about cooking', 'Can you show me five conference articles regarding text mining?']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 5.0}",True
Are the burglar alarms in the office malfunctioning ?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ( VP ( VBG ) ) ( . ) ),CheckDevice,5,ParaQuality,Do the burglar alarms in the office have a malfunction?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ) ( VP ( NNS ) ( PP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.96996796,6.0,False,True,"['define dfw please', 'Can you tell me the current temperature in Pesotum?']","{'( S ( VP ( VB ) ( NP ) ) )': 9.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 7.0}",False
Is the TV in the house off ?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ) ) ( PRT ( RP ) ) ( . ) ),CheckDevice,6,ParaQuality,Has the TV in the house been turned off?,( SQ ( VBZ ) ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( VP ) ) ( . ) ),0.95732886,7.0,False,True,"['Locate the most popular pictures with the #LOVE tag', 'Can you tell me the current temperature in Pesotum?']","{'( S ( VP ( VB ) ( NP ) ) )': 8.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",False
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,( NP ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ),FindHotel,7,ParaQuality,Could you recommend a budget-friendly hotel near Seattle for tomorrow night for two people?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.9145091,7.0,False,True,"['discover places with Join the Dots: B-sides and Rarities', 'Can you tell me the current weather in Pesotum?']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 1.0}",True
Are there any cheap hotels for 7-day stay somewhere near Riverside,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( ADVP ( RB ) ( IN ) ( NP ) ) ),FindHotel,8,ParaQuality,I'm looking for affordable accommodations for a week-long stay in the vicinity of Riverside.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),0.9102943,10.0,False,True,"['find flights from boston to denver', 'Can you tell me the weather forecast for Harrison-Crawford State Forest?']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 5.0}",False
Send an email to Phil telling her that ''I got you'',( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) ),SendMail,9,ParaQuality,Find Italian food establishments in the area,( S ( VP ( VB ) ( NP ) ) ),0.83960027,3.0,False,True,"['locate Fox Theatres that are currently presenting The Caretaker', 'Can you show me 5 conference articles on the topic of text mining?']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",True
Give me 5 conference articles about text mining,( S ( VP ( VB ) ( NP ) ( NP ) ) ),FindArticles,10,ParaQuality,Please locate 5 conference articles related to text mining.,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.9378926,4.0,False,True,"['find places with Join the Dots: B-sides and Rarities', 'Can you tell me the proximity of the nearest taxi?']","{'( S ( VP ( VB ) ( NP ) ) )': 3.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 5.0}",True
I am looking for the latest scientific article related to Machine Learning,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ),FindArticles,11,ParaQuality,Could you please find me the most recent scientific paper related to Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),0.8783837,4.0,False,True,"['Find 5 conference articles related to text mining', ""Can you give me the reviews for the McDonald's located at Kensington st.?""]","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 3.0}",True
Create a comment saying ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ),CreateComment,12,ParaQuality,Find restaurants that serve Italian cuisine.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.84444034,1.0,False,True,"['locate Fox Theatres that are currently presenting The Caretaker', 'Can you tell me the weather forecast for Harrison-Crawford State Forest?']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 5.0}",True
Jump to the previous song,( S ( VP ( VB ) ( PP ) ) ),NavigatePlaylist,13,ParaQuality,Skip to the previous track,( S ( VP ( VB ) ( PP ) ) ),0.9779317,0.0,False,True,"['include this musician called Kirk Hammett in my Party playlist', 'Can you tell me the meaning of ls?']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 7.0}",True
Skip to the next song,( S ( VP ( VB ) ( PP ) ) ),NavigatePlaylist,14,ParaQuality,Move to the next track,( S ( VP ( VB ) ( PP ) ) ),0.9567897,0.0,False,True,"['find a screening of The Caretaker at Fox Theatres', 'Can you tell me the weather forecast for Harrison-Crawford State Forest?']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 7.0}",True
Where can I upgrade my laptop ?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) ),FindStores,15,ParaQuality,Which place provides laptop upgrade services?,( SBARQ ( WHNP ( WDT ) ( NN ) ) ( SQ ( VP ) ) ( . ) ),0.8846462,5.0,False,True,"['Discover cooking tutorials', 'Can you tell me the current temperature in Pesotum?']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 9.0}",False
Could you offer three barbershops in Newtown,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ),FindStores,16,ParaQuality,I'm looking for three hair salons in Newtown. Can you help?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) ),0.9003797,6.0,False,True,"['locate Fox Theatres featuring The Caretaker', 'Can you tell me the cheapest price for a flight from Denver to Pittsburgh?']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 5.0}",False
Let me have top three convenience stores near Newtown,( S ( VP ( VB ) ( S ) ) ),FindStores,17,ParaQuality,Find the top three convenience stores nearby Newtown for me.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.91917264,2.0,False,True,"['locate Fox Theatres that show The Caretaker', 'Can you show me five conference articles regarding text mining?']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 5.0}",True
I want reviews for McDonald's at Kensington st.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) ),GetReviews,18,ParaQuality,Please show me the ratings for McDonald's located at Kensington Street.,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.9336362,4.0,False,True,"['display the list of airlines operating between Boston and Denver', 'can you give me the forecast for cooler temperatures in Anston?']","{'( S ( VP ( VB ) ( NP ) ) )': 4.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 4.0}",False
How far is the closest cab,( SBARQ ( WHADVP ( WRB ) ( RB ) ) ( VP ( VBZ ) ( NP ) ) ),FindTaxi,19,ParaQuality,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) ),0.91278815,7.0,False,True,"['Find videos about cooking', 'Can you find me a pub that serves Italian dressing for a group of 5 people on February 11, 2033?']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 8.0}",False
Request a taxi from the airport to home,( S ( VP ( VB ) ( NP ) ( PP ) ) ),BookTaxi,20,ParaQuality,Find me a taxi to take me home from the airport,( S ( VP ( VB ) ( S ) ) ),0.931308,2.0,False,True,"['Retrieve several high-quality photographs that are similar to Opera House and have a size of 1024 pixels by 768 pixels', 'Can you find me the most recent scientific paper that discusses Machine Learning?']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 7.0}",True
what is the forecast for colder in Anston,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) ),GetWeather,22,SNIPS,Can you give me the cold forecast for Anston?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.8973242,8.0,False,True,"['find flights from boston to denver', 'Can you show me the most recent scientific paper on Machine Learning?']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 0.0}",True
How hot is it in Pesotum,( SBARQ ( WHADJP ( WRB ) ( JJ ) ) ( VP ( VBZ ) ( NP ) ( PP ) ) ),GetWeather,23,SNIPS,What is the temperature like in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) ),0.94318247,6.0,False,True,"['find the lowest cost ticket from Denver to Pittsburgh', 'Can you find me the cheapest fare for a one-way trip from Boston to Baltimore?']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 7.0}",False
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),BookRestaurant,24,SNIPS,"Is there a party of 5 on February 11, 2033 that wants to go to a pub with Italian dressing?",( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) ),0.9306576,7.0,False,True,"['include this musician called Kirk Hammett in my Party playlist', 'Can you tell me the least expensive one-way fare from Boston to Baltimore?']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 5.0}",False
Book a taverna in Equatorial Guinea this month for nine people.,( S ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) ),BookRestaurant,25,SNIPS,Can you help me find a tavern in Equatorial Guinea for a party of nine this month?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),0.89378893,7.0,False,True,"['locate Fox Theatres that are currently presenting The Caretaker', 'Can you tell me the current weather in Pesotum?']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 2.0}",True
Book a table for eight people please,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),BookRestaurant,26,SNIPS,Please reserve a table for a group of eight.,( S ( NP ( UH ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.9137223,4.0,False,True,"['list all the airlines that have flights from boston to atlanta', 'Can you tell me the definition of DFW?']","{'( S ( VP ( VB ) ( NP ) ) )': 3.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 4.0}",True
Please add Ruud Jolie to my playlist Guest List Polygon,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),AddToPlaylist,27,SNIPS,Find establishments that serve Italian cuisine,( S ( VP ( VB ) ( NP ) ) ),0.8251883,3.0,False,True,"['Discover cooking tutorials', 'Can you find me a pub with Italian dressing where I can host a party for 5 people on February 11, 2033?']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",True
add this artist named Kirk Hammett to my playlist Party,( S ( VP ( VB ) ( NP ) ( PP ) ) ),AddToPlaylist,28,SNIPS,Find restaurants in the area that serve Italian cuisine,( S ( VP ( VB ) ( NP ) ) ),0.8399497,1.0,False,True,"['Discover the top-rated pictures tagged with #LOVE', ""Could you give me some information about the customer reviews of McDonald's on Kensington St?""]","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",True
I want to put a copy of this tune into Skatepark Punks,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),AddToPlaylist,29,SNIPS,Discover restaurants that serve Italian cuisine,( S ( VP ( VB ) ( NP ) ) ),0.83498776,4.0,False,True,"['find places that have Join the Dots: B-sides and Rarities', 'Can you find me a copy of The Lion Sleeps Tonight book?']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",True
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),RateBook,30,SNIPS,"Can you give me the 4th volume in With Lee in Virginia, A Story of the American Civil War series?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.87891173,6.0,False,True,"['find flights from boston to denver', 'Can you find me the most recent scientific paper about Machine Learning?']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 0.0}",True
Rate this album two out of 6,( S ( VP ( VB ) ( NP ) ( NP ) ) ),RateBook,31,SNIPS,Evaluate this album with a rating of two out of six.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.92862904,2.0,False,True,"['Find a couple of beautiful images that match Opera House with dimensions 1024px * 768px', 'Can you tell me the definition of DFW?']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 5.0}",True
Give the current part of the saga 4 points out of 6.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),RateBook,32,SNIPS,Rate the current installment of the series on a scale of 6.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.9099312,1.0,False,True,"['provide a list of airlines connecting Boston and Denver', 'Can you find me a pub with Italian dressing where I can host a party for 5 people on February 11, 2033?']","{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 5.0}",True
Can you play some fifties music by lavern baker,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ),PlayMusic,33,SNIPS,Can you find some restaurants that serve Italian cuisine?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.8414556,2.0,False,True,"['find the lowest cost ticket from Denver to Pittsburgh', ""Could you give me your feedback on With Lee in Virginia, A Story of the American Civil War chronicle's fourth installment?""]","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 1.0}",True
Play a 1964 track from Shahram Nazeri on Pandora.,( S ( VP ( VB ) ( NP ) ) ( . ) ),PlayMusic,34,SNIPS,Find a song by Shahram Nazeri from 1964 on Pandora.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.9718889,0.0,False,True,"['Locate the most popular pictures with the #LOVE tag', 'Can you show me five conference articles regarding text mining?']","{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 5.0}",True
Please play me some Satire music,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),PlayMusic,35,SNIPS,Could you please find some music in the genre of satire for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) ),0.87827325,8.0,False,True,"['include this musician called Kirk Hammett in my Party playlist', 'Can you find me any budget-friendly hotels for a 7-day stay in the vicinity of Riverside?']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 3.0}",True
When is Crime and Punishment U.S.A. showing?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) ( . ) ),SearchScreeningEvent,36,SNIPS,What is the schedule for Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) ),0.9512426,4.0,False,True,"['Discover tutorials on cooking', 'Can you give me information about three barbershops located in Newtown?']","{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",False
find Fox Theatres with The Caretaker,( S ( VP ( VB ) ( NP ) ( PP ) ) ),SearchScreeningEvent,37,SNIPS,search for Fox Theatres with The Caretaker,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ( PP ( IN ) ( NP ) ) ),0.9704398,6.0,False,True,"['list the airlines that fly from Boston to Denver', 'Can you find me the most recent scientific paper about Machine Learning?']","{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 9.0}",False
I would like to watch The Wedding Ring at the movie theatre,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ),SearchScreeningEvent,38,SNIPS,Locate a movie theatre that is showing The Wedding Ring,( S ( VP ( VB ) ( NP ) ) ),0.9153932,4.0,False,True,"['Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px', 'Can you tell me the definition of DFW?']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",True
I want to read the book The Lion Sleeps Tonight,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),SearchCreativeWork,39,SNIPS,Can you show me the location of The Lion Sleeps Tonight book?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),0.9065413,6.0,False,True,"['Find videos on cooking', ""Can you give me the reviews for the McDonald's located at Kensington st.?""]","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 0.0}",True
please give me the cheapest flight from denver to pittsburgh,( S ( X ( UH ) ) ( VP ( VB ) ( NP ) ( NP ) ) ),flight,42,ATIS,Can you find the least expensive flight from Denver to Pittsburgh for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),0.92089295,6.0,False,True,"['Locate the top-rated pictures that are labeled with #LOVE', 'Can you find me the book called The Lion Sleeps Tonight to read?']","{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 1.0}",True
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ),flight,43,ATIS,Find restaurants in Milwaukee and Orlando where I can have Italian food,( S ( VP ( VB ) ( NP ) ) ),0.8393998,4.0,False,True,"['locate Fox Theatres showing The Caretaker', 'Could you give me an update on the weather conditions at Harrison-Crawford State Forest?']","{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )': 6.0}",True
