input_utterance,num_duplicates
Terminate i-a541 now,10
Search for cooking videos,8
Find most popular photos tagged #LOVE,0
Search for a few nice photos matching Opera House with size 1024px * 768px,1
Are the burglar alarms in the office malfunctioning ?,9
Is the TV in the house off ?,7
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,0
Are there any cheap hotels for 7-day stay somewhere near Riverside,0
Send an email to Phil telling her that ''I got you'',0
Give me 5 conference articles about text mining,2
I am looking for the latest scientific article related to Machine Learning,2
Create a comment saying ''Best Voice Ever'',0
Jump to the previous song,7
Skip to the next song,5
Where can I upgrade my laptop ?,2
Could you offer three barbershops in Newtown,5
Let me have top three convenience stores near Newtown,0
I want reviews for McDonald's at Kensington st.,0
How far is the closest cab,9
Request a taxi from the airport to home,1
what is the forecast for colder in Anston,1
How hot is it in Pesotum,11
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",1
Book a taverna in Equatorial Guinea this month for nine people.,2
Book a table for eight people please,1
Please add Ruud Jolie to my playlist Guest List Polygon,5
add this artist named Kirk Hammett to my playlist Party,1
I want to put a copy of this tune into Skatepark Punks,4
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",0
Rate this album two out of 6,3
Give the current part of the saga 4 points out of 6.,2
Can you play some fifties music by lavern baker,3
Play a 1964 track from Shahram Nazeri on Pandora.,0
Please play me some Satire music,0
When is Crime and Punishment U.S.A. showing?,10
find Fox Theatres with The Caretaker,3
I would like to watch The Wedding Ring at the movie theatre,0
I want to read the book The Lion Sleeps Tonight,1
Where can I buy a used copy of the game called I Lie Around?,0
please give me the cheapest flight from denver to pittsburgh,1
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,0
what is the lowest fare from denver to pittsburgh,1
what is the cheapest one way fare from boston to baltimore,0
what is the ground transportation from oakland to san francisco,3
can i get a rental car in dallas,6
what airlines fly between boston and atlanta,0
show me the airlines between boston and denver,3
what does ls stand for,5
what does dfw mean,6
What is the forecast for Harrison-Crawford State Forest,4
find Join the Dots: B-sides and Rarities,1
Total number of duplicates in bootstrap,146
