seed_id,intent,input_utterance,paraphrase_value,parameters,is_correct,source,bert_score,utterance_template,paraphrase_template,ted,duplicate,semantics
1,EndEC2Instance,Terminate i-a541 now,Finish i-a541 now.,"[['VM', 'i-a541']]",1,ParaQuality,0.39953426,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),( S ( VP ( VB ) ( NP ) ( ADVP ) ) ( . ) ),1.0,False,False
1,EndEC2Instance,Terminate i-a541 now,Complete  i-a541 now.,"[['VM', 'i-a541']]",1,ParaQuality,0.3870853,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),( FRAG ( NP ( JJ ) ( NN ) ) ( ADVP ( RB ) ) ( . ) ),6.0,False,False
1,EndEC2Instance,Terminate i-a541 now,End i-a541 now.,"[['VM', 'i-a541']]",1,ParaQuality,0.39808875,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),( S ( VP ( NN ) ( NP ) ( ADVP ) ) ( . ) ),2.0,False,False
1,EndEC2Instance,Terminate i-a541 now,Finish i-a541 now.,"[['VM', 'i-a541']]",1,ParaQuality,0.39953426,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),( S ( VP ( VB ) ( NP ) ( ADVP ) ) ( . ) ),1.0,False,False
1,EndEC2Instance,Terminate i-a541 now,Quit i-a541 right away.,"[['VM', 'i-a541']]",1,ParaQuality,0.30216008,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),( S ( VP ( VB ) ( NP ) ( ADVP ) ) ( . ) ),1.0,False,False
1,EndEC2Instance,Terminate i-a541 now,Finish i-a541 immediately.,"[['VM', 'i-a541']]",1,ParaQuality,0.3554374,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),( S ( VP ( VB ) ( NP ) ( ADVP ) ) ( . ) ),1.0,False,False
1,EndEC2Instance,Terminate i-a541 now,i-a541 should be terminated right now,"[['VM', 'i-a541']]",1,ParaQuality,0.21522538,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),( S ( NP ( NN ) ) ( VP ( MD ) ( VP ) ) ),5.0,False,False
1,EndEC2Instance,Terminate i-a541 now,i-a541 should now be terminated,"[['VM', 'i-a541']]",1,ParaQuality,0.24618779,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),( S ( NP ( NNP ) ) ( VP ( MD ) ( ADVP ) ( VP ) ) ),5.0,False,False
1,EndEC2Instance,Terminate i-a541 now,should be terminated i-a541 now,"[['VM', 'i-a541']]",1,ParaQuality,0.47726554,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),( S ( VP ( MD ) ( VP ) ) ),3.0,False,False
1,EndEC2Instance,Terminate i-a541 now,i-a541 should be terminated right now.,"[['VM', 'i-a541']]",1,ParaQuality,0.21947816,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),6.0,False,False
1,EndEC2Instance,Terminate i-a541 now,i-a541 must be terminated.,"[['VM', 'i-a541']]",1,ParaQuality,0.25229573,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),6.0,False,False
