input_utterance,paraphrase_value,paraphrase_template
Terminate i-a541 now,End i-a541 immediately,( NP ( NP ( NN ) ( NN ) ) ( ADVP ( RB ) ) )
Search for cooking videos,Find videos on how to cook,( S ( VP ( VB ) ( NP ) ) )
Find most popular photos tagged #LOVE,Discover the trending pictures labeled #LOVE,( S ( S ( VP ) ) ( VP ( VBP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Find some beautiful pictures that match Opera House with dimensions of 1024 pixels by 768 pixels.,( S ( VP ( VB ) ( NP ) ) ( . ) )
Are the burglar alarms in the office malfunctioning ?,Do the burglar alarms in the office have a malfunction?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ) ( VP ( NNS ) ( PP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Is the TV in the house off ?,Has the TV in the house been switched off?,( SQ ( VBZ ) ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( VP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,Can you recommend a budget-friendly hotel close to Seattle for tomorrow for two people?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,Can you recommend any affordable hotels for a week-long stay in or around Riverside?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Email Phil and let her know that I have your back,( S ( VP ( VP ) ( CC ) ( VP ) ) )
Give me 5 conference articles about text mining,Provide me with 5 conference papers related to text mining.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
I am looking for the latest scientific article related to Machine Learning,I need to find the most recent scientific paper about Machine Learning,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) )
Create a comment saying ''Best Voice Ever'',Generate a comment that expresses ''Best Voice Ever'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) )
Jump to the previous song,Skip to the previous track,( S ( VP ( VB ) ( PP ) ) )
Skip to the next song,Jump to the following track,( S ( VP ( VB ) ( PP ) ) )
