input_utterance,intent,parameters,parse_template,source,row_pk
Terminate i-a541 now,EndEC2Instance,"[['VM', 'i-a541']]",( ROOT ( FRAG ( NP ) ( ADVP ) ) ),ParaQuality,1
Search for cooking videos,SearchWeb,"[['query', 'cooking videos']]",( ROOT ( S ( VP ) ) ),ParaQuality,2
Find most popular photos tagged #LOVE,SearchWeb,"[['Tag', '#LOVE']]",( ROOT ( S ( VP ) ) ),ParaQuality,3
Search for a few nice photos matching Opera House with size 1024px * 768px,SearchWeb,"[['size', '1024px * 768px'], ['query', 'Opera House']]",( ROOT ( FRAG ( S ) ( NP ) ) ),ParaQuality,4
Are the burglar alarms in the office malfunctioning ?,CheckDevice,"[['location', 'office']]",( ROOT ( SQ ( VBP ) ( NP ) ( ADJP ) ( . ) ) ),ParaQuality,5
Is the TV in the house off ?,CheckDevice,"[['device', 'TV']]",( ROOT ( SQ ( VBZ ) ( NP ) ( ADVP ) ( . ) ) ),ParaQuality,6
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,FindHotel,"[['location', 'Seattle'], ['num_of_guests', '2']]",( ROOT ( NP ( NP ) ( PP ) ) ),ParaQuality,7
Are there any cheap hotels for 7-day stay somewhere near Riverside,FindHotel,"[['location', 'Riverside'], ['stay_length', '7-day']]",( ROOT ( SQ ( VBP ) ( NP ) ( ADVP ) ) ),ParaQuality,8
Send an email to Phil telling her that ''I got you'',SendMail,"[['contact', 'Phil'], ['message', 'I got you']]",( ROOT ( S ( VP ) ) ),ParaQuality,9
Give me 5 conference articles about text mining,FindArticles,"[['query', 'text mining'], ['count', '5'], ['article_type', 'conference articles']]",( ROOT ( S ( VP ) ) ),ParaQuality,10
I am looking for the latest scientific article related to Machine Learning,FindArticles,[],( ROOT ( S ( NP ) ( VP ) ) ),ParaQuality,11
Create a comment saying ''Best Voice Ever'',CreateComment,"[['value', 'Best Voice Ever']]",( ROOT ( S ( VP ) ) ),ParaQuality,12
Jump to the previous song,NavigatePlaylist,[],( ROOT ( FRAG ( NP ) ( PP ) ) ),ParaQuality,13
Skip to the next song,NavigatePlaylist,[],( ROOT ( S ( VP ) ) ),ParaQuality,14
Where can I upgrade my laptop ?,FindStores,"[['query', 'laptop']]",( ROOT ( SBARQ ( WHADVP ) ( SQ ) ( . ) ) ),ParaQuality,15
Could you offer three barbershops in Newtown,FindStores,"[['location', 'Newtown']]",( ROOT ( SQ ( MD ) ( NP ) ( VP ) ) ),ParaQuality,16
Let me have top three convenience stores near Newtown,FindStores,"[['location', 'Newtown'], ['business', 'convenience stores']]",( ROOT ( S ( VP ) ) ),ParaQuality,17
