input_utterance,num_duplicates
Terminate i-a541 now,13
Search for cooking videos,17
Find most popular photos tagged #LOVE,19
Search for a few nice photos matching Opera House with size 1024px * 768px,8
Are the burglar alarms in the office malfunctioning ?,8
Is the TV in the house off ?,5
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,5
Are there any cheap hotels for 7-day stay somewhere near Riverside,8
Send an email to Phil telling her that ''I got you'',0
Give me 5 conference articles about text mining,5
I am looking for the latest scientific article related to Machine Learning,8
Create a comment saying ''Best Voice Ever'',17
Jump to the previous song,16
Skip to the next song,12
Where can I upgrade my laptop ?,11
Could you offer three barbershops in Newtown,6
Let me have top three convenience stores near Newtown,7
I want reviews for McDonald's at Kensington st.,5
How far is the closest cab,9
Request a taxi from the airport to home,3
what is the forecast for colder in Anston,7
How hot is it in Pesotum,7
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",3
Book a taverna in Equatorial Guinea this month for nine people.,3
Book a table for eight people please,11
Please add Ruud Jolie to my playlist Guest List Polygon,7
add this artist named Kirk Hammett to my playlist Party,6
I want to put a copy of this tune into Skatepark Punks,14
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",5
Rate this album two out of 6,6
Give the current part of the saga 4 points out of 6.,4
Can you play some fifties music by lavern baker,6
Play a 1964 track from Shahram Nazeri on Pandora.,2
Please play me some Satire music,5
When is Crime and Punishment U.S.A. showing?,7
find Fox Theatres with The Caretaker,11
I would like to watch The Wedding Ring at the movie theatre,8
I want to read the book The Lion Sleeps Tonight,6
Where can I buy a used copy of the game called I Lie Around?,7
please give me the cheapest flight from denver to pittsburgh,6
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,2
what is the lowest fare from denver to pittsburgh,11
what is the cheapest one way fare from boston to baltimore,6
what is the ground transportation from oakland to san francisco,9
can i get a rental car in dallas,11
what airlines fly between boston and atlanta,9
show me the airlines between boston and denver,7
what does ls stand for,3
what does dfw mean,3
What is the forecast for Harrison-Crawford State Forest,7
find Join the Dots: B-sides and Rarities,5
Total number of duplicates in taboo_pattern,386
