input_utterance,num_duplicates
Find most popular photos tagged #LOVE,10
Search for a few nice photos matching Opera House with size 1024px * 768px,8
Are the burglar alarms in the office malfunctioning ?,2
Is the TV in the house off ?,0
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,1
Are there any cheap hotels for 7-day stay somewhere near Riverside,6
Send an email to Phil telling her that ''I got you'',2
Give me 5 conference articles about text mining,6
I am looking for the latest scientific article related to Machine Learning,5
Create a comment saying ''Best Voice Ever'',1
Jump to the previous song,0
Skip to the next song,5
Where can I upgrade my laptop ?,6
Could you offer three barbershops in Newtown,10
Let me have top three convenience stores near Newtown,4
I want reviews for McDonald's at Kensington st.,8
How far is the closest cab,2
Request a taxi from the airport to home,13
What is the forecast for Harrison-Crawford State Forest,2
what is the forecast for colder in Anston,0
How hot is it in Pesotum,2
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",4
Book a taverna in Equatorial Guinea this month for nine people.,4
Book a table for eight people please,3
Please add Ruud Jolie to my playlist Guest List Polygon,6
add this artist named Kirk Hammett to my playlist Party,10
I want to put a copy of this tune into Skatepark Punks,10
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",19
Rate this album two out of 6,3
Give the current part of the saga 4 points out of 6.,7
Can you play some fifties music by lavern baker,6
Play a 1964 track from Shahram Nazeri on Pandora.,0
Please play me some Satire music,0
When is Crime and Punishment U.S.A. showing?,8
find Fox Theatres with The Caretaker,5
I would like to watch The Wedding Ring at the movie theatre,9
I want to read the book The Lion Sleeps Tonight,4
find Join the Dots: B-sides and Rarities,11
Where can I buy a used copy of the game called I Lie Around?,2
please give me the cheapest flight from denver to pittsburgh,7
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,13
what is the lowest fare from denver to pittsburgh,4
what is the cheapest one way fare from boston to baltimore,0
what is the ground transportation from oakland to san francisco,7
can i get a rental car in dallas,5
what airlines fly between boston and atlanta,3
show me the airlines between boston and denver,3
what does dfw mean,3
Total number of duplicates in bootstrap,249
