input_utterance,intent,parameters,utterance_template,source,seed_id,p1,p1_template,p2,p2_template,p3,p3_template,p1_bertscore,p2_bertscore,p3_bertscore,p1_duplicate,p1_semantics,p1_correct,p2_duplicate,p2_semantics,p2_correct,p3_duplicate,p3_semantics,p3_correct,p1_ted,p2_ted,p3_ted
Terminate i-a541 now,EndEC2Instance,"[['VM', 'i-a541']]",( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),ParaQuality,1,End i-a541 immediately,( NP ( NP ( NN ) ( NN ) ) ( ADVP ( RB ) ) ),Stop i-a541 at once,( S ( VP ( VB ) ( NP ) ( PP ) ) ),Cease i-a541 instantly,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),0.94738257,0.922422,0.9322452,False,True,True,False,True,True,False,True,True,5.0,1.0,0.0
Search for cooking videos,SearchWeb,"[['query', 'cooking videos']]",( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,2,Find videos on how to cook,( S ( VP ( VB ) ( NP ) ) ),Look for instructional cooking videos,( S ( VP ( VB ) ( PP ) ) ),Discover tutorials on cooking,( S ( VP ( VB ) ( NP ) ) ),0.91734487,0.98042744,0.92216325,False,True,True,True,True,False,False,True,True,4.0,4.0,4.0
Find most popular photos tagged #LOVE,SearchWeb,"[['Tag', '#LOVE']]",( S ( S ( VP ) ) ( VP ( VBP ) ) ),ParaQuality,3,Discover the trending pictures labeled #LOVE,( S ( S ( VP ) ) ( VP ( VBP ) ) ),Locate the most liked images with the tag #LOVE,( S ( VP ( VB ) ( S ) ) ),Search for popular photos that are tagged with #LOVE,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),0.95425403,0.9300013,0.9308233,False,True,True,False,True,True,False,True,True,0.0,2.0,6.0
Search for a few nice photos matching Opera House with size 1024px * 768px,SearchWeb,"[['size', '1024px * 768px'], ['query', 'Opera House']]",( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,4,Find some beautiful pictures that match Opera House with dimensions of 1024 pixels by 768 pixels.,( S ( VP ( VB ) ( NP ) ) ( . ) ),Look for a couple of stunning images that correspond to Opera House and have a resolution of 1024px by 768px.,( S ( VP ( VB ) ( PP ) ) ( . ) ),Locate a few high-quality photos that are related to the Opera House and have dimensions of 1024 x 768 pixels.,( S ( VP ( VB ) ( NP ) ) ( . ) ),0.9289747,0.9258535,0.89727086,False,True,True,False,True,True,False,True,True,5.0,5.0,5.0
Are the burglar alarms in the office malfunctioning ?,CheckDevice,"[['location', 'office']]",( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ( VP ( VBG ) ) ( . ) ),ParaQuality,5,Do the burglar alarms in the office have a malfunction?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ) ( VP ( NNS ) ( PP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),Are there issues with the burglar alarms in the office?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) ),Do the burglar alarms in the office need repairs?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ) ( VP ( NNS ) ( PP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.9699679,0.94864464,0.9591574,False,True,True,False,True,True,False,True,True,6.0,8.0,6.0
Is the TV in the house off ?,CheckDevice,"[['device', 'TV']]",( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ) ) ( PRT ( RP ) ) ( . ) ),ParaQuality,6,Has the TV in the house been switched off?,( SQ ( VBZ ) ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( VP ) ) ( . ) ),Is the television turned off within the residence?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( VP ( VBN ) ( PRT ) ( PP ) ) ( . ) ),Was the TV in the household shut down?,( SQ ( VBD ) ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( PRT ) ) ( . ) ),0.95797986,0.94412434,0.95036507,False,True,True,False,True,True,False,True,True,7.0,6.0,8.0
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,FindHotel,"[['location', 'Seattle'], ['num_of_guests', '2']]",( NP ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,7,Can you recommend a budget-friendly hotel close to Seattle for tomorrow for two people?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),I need some recommendations for a cheap hotel near Seattle that is available tomorrow and can accommodate two guests.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ) ( . ) ),Do you have any suggestions for an affordable hotel in the vicinity of Seattle that I can book for tomorrow to accommodate two people?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),0.9120294,0.90697074,0.9053886,False,True,True,False,True,True,False,True,True,7.0,6.0,7.0
Are there any cheap hotels for 7-day stay somewhere near Riverside,FindHotel,"[['location', 'Riverside'], ['stay_length', '7-day']]",( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( ADVP ( RB ) ( IN ) ( NP ) ) ),ParaQuality,8,Can you recommend any affordable hotels for a week-long stay in or around Riverside?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) ),I'm looking for budget-friendly accommodations in the Riverside area that offer a 7-day stay. Any suggestions?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),Is there a place to stay near Riverside that offers affordable rates and allows guests to book for one week?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( SBAR ) ) ( . ) ),0.9322495,0.9068706,0.9036105,False,True,True,False,True,True,False,True,True,9.0,10.0,6.0
Send an email to Phil telling her that ''I got you'',SendMail,"[['contact', 'Phil'], ['message', 'I got you']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) ),ParaQuality,9,Email Phil and let her know that I have your back,( S ( VP ( VP ) ( CC ) ( VP ) ) ),Shoot an email to Phil to inform her that I'm here for you,( S ( VP ( VB ) ( NP ) ( PP ) ( S ) ) ),Drop a message to Phil indicating that I've got your back,( S ( VP ( VB ) ( NP ) ) ),0.88678634,0.9330857,0.91942257,False,True,True,False,True,True,False,True,True,5.0,2.0,3.0
Give me 5 conference articles about text mining,FindArticles,"[['query', 'text mining'], ['count', '5'], ['article_type', 'conference articles']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),ParaQuality,10,Provide me with 5 conference papers related to text mining.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),Find 5 conference articles discussing the topic of text mining.,( S ( VP ( VB ) ( NP ) ) ( . ) ),I am interested in reading 5 conference papers on the subject of text mining.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) ),0.9504306,0.9468509,0.9148997,False,True,True,False,True,True,False,True,True,2.0,2.0,6.0
