input_utterance,num_duplicates
Terminate i-a541 now,15
Search for cooking videos,17
Find most popular photos tagged #LOVE,16
Search for a few nice photos matching Opera House with size 1024px * 768px,17
Are the burglar alarms in the office malfunctioning ?,13
Is the TV in the house off ?,14
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,11
Are there any cheap hotels for 7-day stay somewhere near Riverside,9
Send an email to Phil telling her that ''I got you'',6
Give me 5 conference articles about text mining,11
I am looking for the latest scientific article related to Machine Learning,6
Create a comment saying ''Best Voice Ever'',11
Jump to the previous song,19
Skip to the next song,17
Where can I upgrade my laptop ?,10
Could you offer three barbershops in Newtown,13
Let me have top three convenience stores near Newtown,10
I want reviews for McDonald's at Kensington st.,12
How far is the closest cab,13
Request a taxi from the airport to home,5
what is the forecast for colder in Anston,10
How hot is it in Pesotum,14
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",7
Book a taverna in Equatorial Guinea this month for nine people.,8
Book a table for eight people please,10
Please add Ruud Jolie to my playlist Guest List Polygon,15
add this artist named Kirk Hammett to my playlist Party,12
I want to put a copy of this tune into Skatepark Punks,14
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",6
Rate this album two out of 6,8
Give the current part of the saga 4 points out of 6.,16
Can you play some fifties music by lavern baker,9
Play a 1964 track from Shahram Nazeri on Pandora.,10
Please play me some Satire music,10
When is Crime and Punishment U.S.A. showing?,9
find Fox Theatres with The Caretaker,11
I would like to watch The Wedding Ring at the movie theatre,9
I want to read the book The Lion Sleeps Tonight,7
please give me the cheapest flight from denver to pittsburgh,8
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,11
what is the lowest fare from denver to pittsburgh,7
what is the cheapest one way fare from boston to baltimore,12
what is the ground transportation from oakland to san francisco,8
can i get a rental car in dallas,8
what airlines fly between boston and atlanta,12
show me the airlines between boston and denver,14
what does ls stand for,12
what does dfw mean,10
What is the forecast for Harrison-Crawford State Forest,11
Where can I buy a used copy of the game called I Lie Around?,8
find Join the Dots: B-sides and Rarities,7
Total number of duplicates in patterns-by-example,558
