input_utterance,num_duplicates
Terminate i-a541 now,14
Search for cooking videos,20
Find most popular photos tagged #LOVE,16
Search for a few nice photos matching Opera House with size 1024px * 768px,17
Are the burglar alarms in the office malfunctioning ?,13
Is the TV in the house off ?,12
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,11
Are there any cheap hotels for 7-day stay somewhere near Riverside,12
Send an email to Phil telling her that ''I got you'',7
Give me 5 conference articles about text mining,13
I am looking for the latest scientific article related to Machine Learning,10
Create a comment saying ''Best Voice Ever'',18
Jump to the previous song,18
Skip to the next song,19
Where can I upgrade my laptop ?,12
Could you offer three barbershops in Newtown,14
Let me have top three convenience stores near Newtown,13
I want reviews for McDonald's at Kensington st.,16
How far is the closest cab,14
Request a taxi from the airport to home,7
what is the forecast for colder in Anston,9
How hot is it in Pesotum,14
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",12
Book a taverna in Equatorial Guinea this month for nine people.,10
Book a table for eight people please,15
Please add Ruud Jolie to my playlist Guest List Polygon,10
add this artist named Kirk Hammett to my playlist Party,14
I want to put a copy of this tune into Skatepark Punks,12
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",2
Rate this album two out of 6,12
Give the current part of the saga 4 points out of 6.,18
Can you play some fifties music by lavern baker,14
Play a 1964 track from Shahram Nazeri on Pandora.,11
Please play me some Satire music,13
When is Crime and Punishment U.S.A. showing?,11
find Fox Theatres with The Caretaker,18
I would like to watch The Wedding Ring at the movie theatre,8
I want to read the book The Lion Sleeps Tonight,9
Where can I buy a used copy of the game called I Lie Around?,10
please give me the cheapest flight from denver to pittsburgh,11
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,6
what is the lowest fare from denver to pittsburgh,9
what is the cheapest one way fare from boston to baltimore,12
what is the ground transportation from oakland to san francisco,12
can i get a rental car in dallas,12
what airlines fly between boston and atlanta,8
show me the airlines between boston and denver,18
what does ls stand for,10
what does dfw mean,13
What is the forecast for Harrison-Crawford State Forest,12
find Join the Dots: B-sides and Rarities,7
Total number of duplicates in taboo-patterns,628
