input_utterance,num_duplicates
Terminate i-a541 now,4
Search for cooking videos,12
Find most popular photos tagged #LOVE,7
Search for a few nice photos matching Opera House with size 1024px * 768px,4
Are the burglar alarms in the office malfunctioning ?,3
Is the TV in the house off ?,6
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,5
Are there any cheap hotels for 7-day stay somewhere near Riverside,4
Send an email to Phil telling her that ''I got you'',3
Give me 5 conference articles about text mining,5
I am looking for the latest scientific article related to Machine Learning,7
Create a comment saying ''Best Voice Ever'',10
Jump to the previous song,9
Skip to the next song,12
Where can I upgrade my laptop ?,2
Could you offer three barbershops in Newtown,4
Let me have top three convenience stores near Newtown,3
I want reviews for McDonald's at Kensington st.,3
How far is the closest cab,1
Request a taxi from the airport to home,4
what is the forecast for colder in Anston,4
How hot is it in Pesotum,4
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",4
Book a taverna in Equatorial Guinea this month for nine people.,4
Book a table for eight people please,6
Please add Ruud Jolie to my playlist Guest List Polygon,2
add this artist named Kirk Hammett to my playlist Party,6
I want to put a copy of this tune into Skatepark Punks,3
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",4
Rate this album two out of 6,5
Give the current part of the saga 4 points out of 6.,4
Can you play some fifties music by lavern baker,1
Play a 1964 track from Shahram Nazeri on Pandora.,11
Please play me some Satire music,5
When is Crime and Punishment U.S.A. showing?,2
find Fox Theatres with The Caretaker,13
I would like to watch The Wedding Ring at the movie theatre,5
I want to read the book The Lion Sleeps Tonight,2
Where can I buy a used copy of the game called I Lie Around?,3
please give me the cheapest flight from denver to pittsburgh,6
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,9
what is the lowest fare from denver to pittsburgh,4
what is the cheapest one way fare from boston to baltimore,4
what is the ground transportation from oakland to san francisco,3
can i get a rental car in dallas,6
what airlines fly between boston and atlanta,2
show me the airlines between boston and denver,6
what does ls stand for,4
what does dfw mean,3
What is the forecast for Harrison-Crawford State Forest,4
find Join the Dots: B-sides and Rarities,6
Total number of duplicates in patterns-by-example,253
