input_utterance,num_duplicates
Terminate i-a541 now,18
Search for cooking videos,18
Find most popular photos tagged #LOVE,17
Search for a few nice photos matching Opera House with size 1024px * 768px,16
Are the burglar alarms in the office malfunctioning ?,16
Is the TV in the house off ?,14
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,14
Are there any cheap hotels for 7-day stay somewhere near Riverside,10
Send an email to Phil telling her that ''I got you'',4
Give me 5 conference articles about text mining,12
I am looking for the latest scientific article related to Machine Learning,12
Create a comment saying ''Best Voice Ever'',17
Jump to the previous song,17
Skip to the next song,20
Where can I upgrade my laptop ?,8
Could you offer three barbershops in Newtown,13
Let me have top three convenience stores near Newtown,11
I want reviews for McDonald's at Kensington st.,12
How far is the closest cab,15
Request a taxi from the airport to home,10
what is the forecast for colder in Anston,8
How hot is it in Pesotum,18
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",12
Book a taverna in Equatorial Guinea this month for nine people.,11
Book a table for eight people please,13
Please add Ruud Jolie to my playlist Guest List Polygon,17
add this artist named Kirk Hammett to my playlist Party,17
I want to put a copy of this tune into Skatepark Punks,14
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",10
Rate this album two out of 6,10
Give the current part of the saga 4 points out of 6.,19
Can you play some fifties music by lavern baker,16
Play a 1964 track from Shahram Nazeri on Pandora.,10
Please play me some Satire music,13
When is Crime and Punishment U.S.A. showing?,14
find Fox Theatres with The Caretaker,18
I would like to watch The Wedding Ring at the movie theatre,8
I want to read the book The Lion Sleeps Tonight,12
Where can I buy a used copy of the game called I Lie Around?,9
please give me the cheapest flight from denver to pittsburgh,12
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,3
what is the lowest fare from denver to pittsburgh,15
what is the cheapest one way fare from boston to baltimore,11
what is the ground transportation from oakland to san francisco,13
can i get a rental car in dallas,14
what airlines fly between boston and atlanta,7
show me the airlines between boston and denver,18
what does ls stand for,9
what does dfw mean,8
What is the forecast for Harrison-Crawford State Forest,9
find Join the Dots: B-sides and Rarities,6
Total number of duplicates in bootstrap,648
