input_utterance,intent,parameters,utterance_template,source,seed_id,selected_templates,selected_templates_related_paraphrases,p1,p1_template,p1_ted_to_selected_templates,p1_is_similar,p2,p2_template,p2_ted_to_selected_templates,p2_is_similar,p3,p3_template,p3_ted_to_selected_templates,p3_is_similar
Terminate i-a541 now,EndEC2Instance,"[['VM', 'i-a541']]",( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),ParaQuality,1,"['( S ( VP ( VB ) ( NP ) ) )', '( S ( VP ( VB ) ( PP ) ) )']","['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']",End the execution of i-a541 immediately,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True,Stop i-a541 at once,( S ( VP ( VB ) ( NP ) ( PP ) ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True,Cease the operation of i-a541 now,( S ( VP ( VB ) ( NP ) ( ADVP ) ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True
Search for cooking videos,SearchWeb,"[['query', 'cooking videos']]",( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,2,"['( S ( VP ( VB ) ( NP ) ) )', '( S ( VP ( VB ) ( PP ) ) )']","['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']",Find videos about how to cook,( S ( VP ( VB ) ( NP ) ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True,Discover videos on cooking techniques,( S ( VP ( VB ) ( NP ) ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True,Explore a collection of cooking tutorials,( S ( VP ( VB ) ( NP ) ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Find most popular photos tagged #LOVE,SearchWeb,"[['Tag', '#LOVE']]",( S ( S ( VP ) ) ( VP ( VBP ) ) ),ParaQuality,3,"['( S ( VP ( VB ) ( NP ) ) )', '( S ( VP ( VB ) ( PP ) ) )']","['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']",Discover the most popular images with the hashtag #LOVE,( S ( VP ( VB ) ( NP ) ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True,Search for the trending photos that are tagged with #LOVE,( S ( VP ( VB ) ( PP ) ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 0.0}",True,Find the top-rated pictures labeled as #LOVE,( S ( VP ( VB ) ( NP ) ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 0.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True
Search for a few nice photos matching Opera House with size 1024px * 768px,SearchWeb,"[['size', '1024px * 768px'], ['query', 'Opera House']]",( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,4,"['( S ( VP ( VB ) ( NP ) ) )', '( S ( VP ( VB ) ( PP ) ) )']","['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']",Find a selection of high-quality images featuring the Opera House in dimensions of 1024px * 768px.,( S ( VP ( VB ) ( NP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True,Locate some appealing pictures that match the Opera House and have a resolution of 1024px * 768px.,( S ( VP ( VB ) ( NP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True,"Retrieve several beautiful photos that showcase the Opera House, with dimensions set at 1024px * 768px.","( S ( VP ( VB ) ( NP ) ( , ) ( PP ) ) ( . ) )","{'( S ( VP ( VB ) ( NP ) ) )': 3.0, '( S ( VP ( VB ) ( PP ) ) )': 3.0}",False
Are the burglar alarms in the office malfunctioning ?,CheckDevice,"[['location', 'office']]",( SQ ( VBP ) ( NP ( DT ) ( NN ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ( VP ( VBG ) ) ( . ) ),ParaQuality,5,"['( S ( VP ( VB ) ( NP ) ) )', '( S ( VP ( VB ) ( PP ) ) )']","['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']",Are the alarms in the office malfunctioning for burglars?,( SQ ( VBP ) ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ( VP ( VBG ) ( PP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 11.0, '( S ( VP ( VB ) ( PP ) ) )': 10.0}",False,Is there a problem with the burglar alarms in the office?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False,Do the burglar alarms in the office need fixing?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ) ( VP ( NNS ) ( PP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 9.0, '( S ( VP ( VB ) ( PP ) ) )': 10.0}",False
Is the TV in the house off ?,CheckDevice,"[['device', 'TV']]",( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( PP ( IN ) ( NP ) ) ( PRT ( RP ) ) ( . ) ),ParaQuality,6,"['( S ( VP ( VB ) ( NP ) ) )', '( S ( VP ( VB ) ( PP ) ) )']","['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']",Has the television been turned off in the house?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( VP ( VBN ) ( VP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 8.0, '( S ( VP ( VB ) ( PP ) ) )': 8.0}",False,Is the house's TV currently powered down?,( SQ ( VBZ ) ( NP ( NP ) ( NN ) ) ( ADVP ( RB ) ) ( VP ( VBN ) ( ADVP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 10.0, '( S ( VP ( VB ) ( PP ) ) )': 10.0}",False,Did someone switch off the TV inside the house?,( SQ ( VBD ) ( NP ( NN ) ) ( VP ( VB ) ( PRT ) ( NP ) ( PP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,FindHotel,"[['location', 'Seattle'], ['num_of_guests', '2']]",( NP ( NP ( DT ) ( NNS ) ) ( PP ( IN ) ( NP ) ) ),ParaQuality,7,"['( S ( VP ( VB ) ( NP ) ) )', '( S ( VP ( VB ) ( PP ) ) )']","['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']",Can you recommend any affordable hotels around Seattle for tomorrow for a couple?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 7.0, '( S ( VP ( VB ) ( PP ) ) )': 7.0}",False,Do you have any suggestions for a budget-friendly hotel in the vicinity of Seattle that I can book for tomorrow and accommodate two people?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False,I'm looking for an inexpensive hotel near Seattle that can accommodate two people starting from tomorrow. Any recommendations?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Are there any cheap hotels for 7-day stay somewhere near Riverside,FindHotel,"[['location', 'Riverside'], ['stay_length', '7-day']]",( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( ADVP ( RB ) ( IN ) ( NP ) ) ),ParaQuality,8,"['( S ( VP ( VB ) ( NP ) ) )', '( S ( VP ( VB ) ( PP ) ) )']","['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']",Can you recommend any affordable hotels near Riverside for a 7-day stay?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 6.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False,Could you suggest some budget-friendly accommodations in the vicinity of Riverside for a 1-week duration?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 6.0}",False,I'm looking for economical lodging options close to Riverside that can accommodate a week-long stay. Any suggestions?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 5.0, '( S ( VP ( VB ) ( PP ) ) )': 5.0}",False
Send an email to Phil telling her that ''I got you'',SendMail,"[['contact', 'Phil'], ['message', 'I got you']]",( S ( VP ( VB ) ( NP ) ( PP ) ) ( '' ) ( '' ) ),ParaQuality,9,"['( S ( VP ( VB ) ( NP ) ) )', '( S ( VP ( VB ) ( PP ) ) )']","['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']",Notify Phil via email that I have your back,( S ( VP ( VB ) ( NP ) ( PP ) ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 1.0}",True,Drop an electronic letter to Phil stating ''I'm here for you'',( S ( VP ( VB ) ( NP ) ) ( '' ) ( '' ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 3.0}",False,Dispatch a message to Phil through email informing her that ''I understand'',( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ( S ) ) ( '' ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 3.0, '( S ( VP ( VB ) ( PP ) ) )': 3.0}",False
Give me 5 conference articles about text mining,FindArticles,"[['query', 'text mining'], ['count', '5'], ['article_type', 'conference articles']]",( S ( VP ( VB ) ( NP ) ( NP ) ) ),ParaQuality,10,"['( S ( VP ( VB ) ( NP ) ) )', '( S ( VP ( VB ) ( PP ) ) )']","['Include this musician called Kirk Hammett in my playlist Party', 'Skip to the succeeding tune']",Find me 5 articles focused on text mining at conferences.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 3.0}",False,Fetch 5 conference papers related to text mining.,( S ( VP ( VB ) ( NP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 1.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",True,Retrieve information on 5 conference articles discussing text mining.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) ),"{'( S ( VP ( VB ) ( NP ) ) )': 2.0, '( S ( VP ( VB ) ( PP ) ) )': 2.0}",False
