input_utterance,num_duplicates
Terminate i-a541 now,12
Search for cooking videos,16
Find most popular photos tagged #LOVE,12
Search for a few nice photos matching Opera House with size 1024px * 768px,7
Are the burglar alarms in the office malfunctioning ?,7
Is the TV in the house off ?,5
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,7
Are there any cheap hotels for 7-day stay somewhere near Riverside,6
Send an email to Phil telling her that ''I got you'',1
Give me 5 conference articles about text mining,6
I am looking for the latest scientific article related to Machine Learning,8
Create a comment saying ''Best Voice Ever'',13
Jump to the previous song,17
Skip to the next song,16
Where can I upgrade my laptop ?,6
Could you offer three barbershops in Newtown,5
Let me have top three convenience stores near Newtown,6
I want reviews for McDonald's at Kensington st.,8
How far is the closest cab,8
Request a taxi from the airport to home,6
what is the forecast for colder in Anston,3
How hot is it in Pesotum,7
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033",6
Book a taverna in Equatorial Guinea this month for nine people.,2
Book a table for eight people please,9
Please add Ruud Jolie to my playlist Guest List Polygon,7
add this artist named Kirk Hammett to my playlist Party,9
I want to put a copy of this tune into Skatepark Punks,8
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6",3
Rate this album two out of 6,5
Give the current part of the saga 4 points out of 6.,7
Can you play some fifties music by lavern baker,6
Play a 1964 track from Shahram Nazeri on Pandora.,5
Please play me some Satire music,5
When is Crime and Punishment U.S.A. showing?,7
find Fox Theatres with The Caretaker,7
I would like to watch The Wedding Ring at the movie theatre,8
I want to read the book The Lion Sleeps Tonight,3
Where can I buy a used copy of the game called I Lie Around?,2
please give me the cheapest flight from denver to pittsburgh,6
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,3
what is the lowest fare from denver to pittsburgh,7
what is the cheapest one way fare from boston to baltimore,7
what is the ground transportation from oakland to san francisco,7
can i get a rental car in dallas,11
what airlines fly between boston and atlanta,7
show me the airlines between boston and denver,4
what does ls stand for,4
what does dfw mean,6
What is the forecast for Harrison-Crawford State Forest,3
find Join the Dots: B-sides and Rarities,11
Total number of duplicates in patterns-by-example,357
